,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id,destination
0,140379,729,460,8262,24,1586176500.0,1586177220.0,20200406 08:35,20200406 08:47,33,SHUTTLE PARK SOUTH
1,138748,135,235,34781,64,1586200440.0,1586202360.0,20200406 15:14,20200406 15:46,13,DOWNTOWN
2,139698,148,0,72501,124,1586166960.0,1586170680.0,20200406 05:56,20200406 06:58,4,DOWNTOWN
3,138655,128,115,37268,69,1586168700.0,1586170740.0,20200406 06:25,20200406 06:59,10G,DOWNTOWN
4,138423,505,0,40705,59,1586221320.0,1586223060.0,20200406 21:02,20200406 21:31,1,DOWNTOWN
5,140298,722,303,8889,27,1586199300.0,1586200140.0,20200406 14:55,20200406 15:09,33,SHUTTLE PARK NORTH
6,138743,144,535,34781,67,1586195100.0,1586197140.0,20200406 13:45,20200406 14:19,13,DOWNTOWN
7,139700,149,127,416,206,1586179680.0,1586185320.0,20200406 09:28,20200406 11:02,4,DOWNTOWN
8,139290,504,2301,14159,27,1586176980.0,1586177820.0,20200406 08:43,20200406 08:57,2,DOWNTOWN
9,138547,127,1151,416,114,1586190000.0,1586192760.0,20200406 12:20,20200406 13:06,10A,DOWNTOWN VIA DODSON AVE HEALTH CTR
10,139143,127,376,49560,60,1586208000.0,1586209800.0,20200406 17:20,20200406 17:50,16,NORTHGATE
11,140037,107,179,53218,52,1586178480.0,1586180040.0,20200406 09:08,20200406 09:34,8,GERMANTOWN + BRAINERD RD
12,139523,727,824,5193,16,1586197560.0,1586197980.0,20200406 14:26,20200406 14:33,34,TREMONT + FRAZIER
13,139645,141,418,87822,123,1586167620.0,1586171340.0,20200406 06:07,20200406 07:09,PO,
14,140275,718,227,8915,33,1586198220.0,1586199180.0,20200406 14:37,20200406 14:53,33,SHUTTLE PARK NORTH
15,139533,727,0,5203,10,1586208180.0,1586208480.0,20200406 17:23,20200406 17:28,34,TREMONT + FRAZIER
16,139731,129,107,72506,131,1586184900.0,1586188800.0,20200406 10:55,20200406 12:00,4,DOWNTOWN
17,139715,501,101,72802,125,1586163600.0,1586167320.0,20200406 05:00,20200406 06:02,4,DOWNTOWN
18,138616,112,0,87908,98,1586168400.0,1586171340.0,20200406 06:20,20200406 07:09,10C,CAMPBELL
19,139364,504,0,9382,36,1586178900.0,1586179920.0,20200406 09:15,20200406 09:32,21,DOWNTOWN
20,140322,729,482,8974,22,1586213580.0,1586214180.0,20200406 18:53,20200406 19:03,33,SHUTTLE PARK NORTH
21,139438,126,173,34379,57,1586182500.0,1586184180.0,20200406 10:15,20200406 10:43,28,CHATTANOOGA STATE
22,140391,703,0,8209,30,1586187720.0,1586188560.0,20200406 11:42,20200406 11:56,33,SHUTTLE PARK SOUTH
23,139647,148,45,73585,110,1586170740.0,1586174040.0,20200406 06:59,20200406 07:54,4,EASTGATE HAMILTON PL
24,139993,142,117,391,87,1586185800.0,1586187780.0,20200406 11:10,20200406 11:43,7,CHATTANOOGA HOUSING AUTHORITY
25,139327,503,721,13752,36,1586205060.0,1586206140.0,20200406 16:31,20200406 16:49,21,GOLDEN GATEWAY
26,140490,729,84,8084,41,1586224980.0,1586226180.0,20200406 22:03,20200406 22:23,33,SHUTTLE PARK SOUTH
27,140293,722,1823,8700,25,1586190300.0,1586191020.0,20200406 12:25,20200406 12:37,33,SHUTTLE PARK NORTH
28,139516,727,0,5203,14,1586189880.0,1586190300.0,20200406 12:18,20200406 12:25,34,TREMONT + FRAZIER
29,140438,722,0,8262,23,1586192880.0,1586193540.0,20200406 13:08,20200406 13:19,33,SHUTTLE PARK SOUTH
30,140287,726,207,8668,35,1586200200.0,1586201220.0,20200406 15:10,20200406 15:27,33,SHUTTLE PARK NORTH
31,139280,501,106,19905,30,1586213340.0,1586214240.0,20200406 18:49,20200406 19:04,2,NORTH CHATTANOOGA
32,138424,150,0,39546,65,1586224740.0,1586226660.0,20200406 21:59,20200406 22:31,1,DOWNTOWN
33,139101,136,169,25409,39,1586171640.0,1586172780.0,20200406 07:14,20200406 07:33,15,ST ELMO VIA INCLINE 
34,138360,141,42,30509,68,1586190900.0,1586192940.0,20200406 12:35,20200406 13:09,1,ALTON PARK
35,139661,120,0,73517,129,1586206500.0,1586210400.0,20200406 16:55,20200406 18:00,4,EASTGATE HAMILTON PL
36,140136,145,198,416,143,1586176200.0,1586180220.0,20200406 08:30,20200406 09:37,9,DOWNTOWN
37,139174,118,113,52490,80,1586180100.0,1586182500.0,20200406 09:35,20200406 10:15,16,DOWNTOWN
38,139735,134,104,72608,151,1586199600.0,1586204160.0,20200406 15:00,20200406 16:16,4,DOWNTOWN
39,138521,124,297,29659,45,1586196120.0,1586197440.0,20200406 14:02,20200406 14:24,10A,AVONDALE
40,138663,504,159,37861,69,1586207100.0,1586209140.0,20200406 17:05,20200406 17:39,10G,DOWNTOWN
41,139150,105,87,53095,91,1586166900.0,1586169600.0,20200406 05:55,20200406 06:40,16,DOWNTOWN
42,139344,504,0,9070,42,1586182800.0,1586184060.0,20200406 10:20,20200406 10:41,21,DOWNTOWN
43,139345,505,161,9790,23,1586185080.0,1586185980.0,20200406 10:58,20200406 11:13,21,DOWNTOWN
44,140048,107,121,53218,58,1586204760.0,1586206440.0,20200406 16:26,20200406 16:54,8,GERMANTOWN + BRAINERD RD
45,139707,132,103,72351,130,1586168700.0,1586172540.0,20200406 06:25,20200406 07:29,4,DOWNTOWN
46,139553,727,39,5020,26,1586185680.0,1586186520.0,20200406 11:08,20200406 11:22,34,SHUTTLE PARK NORTH
47,140328,726,783,8410,38,1586216400.0,1586217480.0,20200406 19:40,20200406 19:58,33,SHUTTLE PARK NORTH
48,139306,503,57,15176,36,1586212200.0,1586213220.0,20200406 18:30,20200406 18:47,2,DOWNTOWN
49,140122,127,49,35309,71,1586219160.0,1586221260.0,20200406 20:26,20200406 21:01,9,EAST LAKE  
50,139741,132,94,71930,135,1586220900.0,1586224920.0,20200406 20:55,20200406 22:02,4,DOWNTOWN
51,140374,729,209,8262,24,1586174640.0,1586175360.0,20200406 08:04,20200406 08:16,33,SHUTTLE PARK SOUTH
52,139303,501,0,15261,30,1586205900.0,1586206740.0,20200406 16:45,20200406 16:59,2,DOWNTOWN
53,138549,136,70,416,133,1586199120.0,1586202600.0,20200406 14:52,20200406 15:50,10A,DOWNTOWN
54,139261,505,418,35555,82,1586166300.0,1586168700.0,20200406 05:45,20200406 06:25,PO,
55,139508,727,403,5203,9,1586181120.0,1586181360.0,20200406 09:52,20200406 09:56,34,TREMONT + FRAZIER
56,139543,727,113,5020,11,1586175240.0,1586175540.0,20200406 08:14,20200406 08:19,34,SHUTTLE PARK NORTH
57,140282,726,112,8694,22,1586191380.0,1586192040.0,20200406 12:43,20200406 12:54,33,SHUTTLE PARK NORTH
58,138365,143,375,30595,53,1586197140.0,1586198760.0,20200406 14:19,20200406 14:46,1,ALTON PARK
59,138723,135,49,33014,79,1586178480.0,1586180880.0,20200406 09:08,20200406 09:48,13,ROSSVILLE
60,139362,503,346,5576,12,1586217180.0,1586217540.0,20200406 19:53,20200406 19:59,21,DOWNTOWN
61,140289,726,207,8718,36,1586203860.0,1586204940.0,20200406 16:11,20200406 16:29,33,SHUTTLE PARK NORTH
62,140025,107,0,12665,15,1586201880.0,1586202300.0,20200406 15:38,20200406 15:45,8,EASTDALE
63,140114,138,14362,51819,93,1586191320.0,1586194140.0,20200406 12:42,20200406 13:29,9,EAST LAKE
64,138370,115,42,30694,58,1586203200.0,1586204880.0,20200406 16:00,20200406 16:28,1,ALTON PARK
65,138652,505,393,37626,63,1586217600.0,1586219460.0,20200406 20:00,20200406 20:31,10G,DOWNTOWN
66,139162,128,357,52964,53,1586221320.0,1586222880.0,20200406 21:02,20200406 21:28,16,DOWNTOWN
67,140381,703,118,8262,25,1586177040.0,1586177820.0,20200406 08:44,20200406 08:57,33,SHUTTLE PARK SOUTH
68,139325,503,123,13759,43,1586200740.0,1586202000.0,20200406 15:19,20200406 15:40,21,GOLDEN GATEWAY
69,139570,727,100,4906,21,1586204340.0,1586204940.0,20200406 16:19,20200406 16:29,34,SHUTTLE PARK NORTH
70,139447,103,1599,33340,38,1586202660.0,1586203800.0,20200406 15:51,20200406 16:10,28,DOWNTOWN
71,140439,722,0,8195,31,1586194620.0,1586195580.0,20200406 13:37,20200406 13:53,33,SHUTTLE PARK SOUTH
72,139134,127,1129,49562,61,1586223000.0,1586224800.0,20200406 21:30,20200406 22:00,16,NORTHGATE
73,139654,131,418,87822,139,1586165400.0,1586169540.0,20200406 05:30,20200406 06:39,PO,
74,138564,142,398,26320,57,1586197500.0,1586199240.0,20200406 14:25,20200406 14:54,10A,DOWNTOWN
75,140099,104,49,36181,66,1586173080.0,1586175060.0,20200406 07:38,20200406 08:11,9,EAST LAKE  
76,138385,120,0,40354,78,1586168760.0,1586171100.0,20200406 06:26,20200406 07:05,1,DOWNTOWN
77,138620,141,1006,87818,108,1586202300.0,1586205540.0,20200406 15:45,20200406 16:39,10C,CAMPBELL
78,140430,726,699,8231,27,1586197620.0,1586198400.0,20200406 14:27,20200406 14:40,33,SHUTTLE PARK SOUTH
79,140228,729,56,8927,39,1586173440.0,1586174640.0,20200406 07:44,20200406 08:04,33,SHUTTLE PARK NORTH
80,139436,103,462,34388,47,1586188740.0,1586190180.0,20200406 11:59,20200406 12:23,28,CHATTANOOGA STATE
81,138396,144,0,40281,73,1586173740.0,1586175900.0,20200406 07:49,20200406 08:25,1,DOWNTOWN
82,140949,115,700,364,149,1586171460.0,1586175360.0,20200406 07:11,20200406 08:16,3,3 DOWNTOWN 
83,138405,141,0,39571,63,1586192940.0,1586194800.0,20200406 13:09,20200406 13:40,1,DOWNTOWN
84,140115,138,49,36131,74,1586199360.0,1586201580.0,20200406 14:56,20200406 15:33,9,EAST LAKE  
85,140043,107,432,53073,48,1586193420.0,1586194860.0,20200406 13:17,20200406 13:41,8,GERMANTOWN + BRAINERD RD
86,139449,103,2382,33340,51,1586196240.0,1586197740.0,20200406 14:04,20200406 14:29,28,DOWNTOWN
87,139252,106,336,61477,94,1586196480.0,1586199300.0,20200406 14:08,20200406 14:55,19,CROMWELL
88,140112,128,36128,36128,1,1586217600.0,1586217600.0,20200406 20:00,20200406 20:00,9,EAST LAKE  
89,139317,505,824,13817,35,1586184240.0,1586185320.0,20200406 10:44,20200406 11:02,21,GOLDEN GATEWAY
90,139749,126,106,0,293,1586204100.0,1586212320.0,20200406 16:15,20200406 18:32,4,DOWNTOWN
91,138654,505,1448,11465,138,1586231940.0,1586235600.0,20200406 23:59,20200407 01:00,10G,DOWNTOWN
92,139329,503,654,13770,40,1586209200.0,1586210400.0,20200406 17:40,20200406 18:00,21,GOLDEN GATEWAY
93,139099,136,0,41035,53,1586165100.0,1586166660.0,20200406 05:25,20200406 05:51,15,ST ELMO VIA INCLINE 
94,140147,145,160,416,135,1586190600.0,1586194320.0,20200406 12:30,20200406 13:32,9,DOWNTOWN
95,139711,148,99,72098,133,1586174100.0,1586178060.0,20200406 07:55,20200406 09:01,4,DOWNTOWN
96,140113,128,49,35586,59,1586222940.0,1586224680.0,20200406 21:29,20200406 21:58,9,EAST LAKE  
97,139754,149,85,72802,138,1586205900.0,1586210040.0,20200406 16:45,20200406 17:54,4,DOWNTOWN
98,140245,703,439,8992,23,1586187000.0,1586187660.0,20200406 11:30,20200406 11:41,33,SHUTTLE PARK NORTH
99,140270,722,307,8883,25,1586177640.0,1586178360.0,20200406 08:54,20200406 09:06,33,SHUTTLE PARK NORTH
100,139652,501,375,95873,103,1586167380.0,1586170440.0,20200406 06:03,20200406 06:54,4,EASTGATE HAMILTON PL VIA HEALTH CTR
101,139746,119,381,0,193,1586225040.0,1586230200.0,20200406 22:04,20200406 23:30,4,DOWNTOWN
102,139446,103,1982,33340,50,1586205240.0,1586206740.0,20200406 16:34,20200406 16:59,28,DOWNTOWN
103,140234,722,247,8916,37,1586175840.0,1586176920.0,20200406 08:24,20200406 08:42,33,SHUTTLE PARK NORTH
104,139541,727,435,4811,9,1586173200.0,1586173440.0,20200406 07:40,20200406 07:44,34,SHUTTLE PARK NORTH
105,140134,125,277,34417,44,1586181180.0,1586182440.0,20200406 09:53,20200406 10:14,9,DOWNTOWN
106,140249,703,255,8707,21,1586194140.0,1586194740.0,20200406 13:29,20200406 13:39,33,SHUTTLE PARK NORTH
107,140431,726,460,8154,29,1586199300.0,1586200200.0,20200406 14:55,20200406 15:10,33,SHUTTLE PARK SOUTH
108,138518,128,376,30069,68,1586183100.0,1586185140.0,20200406 10:25,20200406 10:59,10A,AVONDALE
109,139295,504,204,15061,40,1586189100.0,1586190300.0,20200406 12:05,20200406 12:25,2,DOWNTOWN
110,140112,128,49,35157,65,1586215620.0,1586217540.0,20200406 19:27,20200406 19:59,9,EAST LAKE  
111,139167,138,0,11465,204,1586205300.0,1586210820.0,20200406 16:35,20200406 18:07,16,DOWNTOWN
112,138537,139,0,8335,118,1586214000.0,1586217540.0,20200406 19:00,20200406 19:59,10A,AVONDALE
113,140952,112,11,399,203,1586211660.0,1586217180.0,20200406 18:21,20200406 19:53,3,3 DOWNTOWN 
114,138386,140,0,40705,59,1586170200.0,1586171940.0,20200406 06:50,20200406 07:19,1,DOWNTOWN
115,139275,504,424,18963,29,1586192520.0,1586193360.0,20200406 13:02,20200406 13:16,2,NORTH CHATTANOOGA
116,140009,141,416,15187,30,1586190000.0,1586190840.0,20200406 12:20,20200406 12:34,PO,
117,139287,505,161,15176,22,1586171880.0,1586172540.0,20200406 07:18,20200406 07:29,2,DOWNTOWN
118,140101,125,50,35944,85,1586178600.0,1586181120.0,20200406 09:10,20200406 09:52,9,EAST LAKE  
119,139512,727,403,5203,10,1586185440.0,1586185920.0,20200406 11:04,20200406 11:12,34,TREMONT + FRAZIER
120,139307,505,57,15005,25,1586179320.0,1586180040.0,20200406 09:22,20200406 09:34,2,DOWNTOWN
121,139730,148,0,416,183,1586229900.0,1586235060.0,20200406 23:25,20200407 00:51,4,DOWNTOWN
122,140261,726,698,8575,29,1586189580.0,1586190420.0,20200406 12:13,20200406 12:27,33,SHUTTLE PARK NORTH
123,139988,142,133,364,85,1586199240.0,1586201160.0,20200406 14:54,20200406 15:26,7,CHATTANOOGA HOUSING AUTHORITY
124,139273,504,365,18963,29,1586179980.0,1586180820.0,20200406 09:33,20200406 09:47,2,NORTH CHATTANOOGA
